Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,1,2048,262144,264192,0.6272554621100426,421187.2450042555,1.5942467788739079
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,1,256,1048576,1048832,0.5574314951275786,1881544.2061808065,1.7939424103963328
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,1,512,1048576,1049088,0.5927356147828201,1769908.8325988115,1.6870928202389233
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,1,1024,1048576,1049600,0.4489956401909391,2337661.897014521,2.227193118344627
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,1,2048,1048576,1050624,0.5779330582978824,1817899.12328995,1.73030420330199
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,16,4096,262144,266240,1.9090561950579286,139461.58352448142,8.38110477911547
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,16,8192,262144,270336,1.9723213938996196,137064.8824457048,8.112268137174764
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,16,16384,262144,278528,4.940172693381707,56380.2152854172,3.238753175862661
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,16,32768,262144,294912,2.6380483781298003,111791.73302692533,6.065089682450376
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,16,4096,1048576,1052672,1.8658334737022717,564183.2536701361,8.575256165949297
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,16,8192,1048576,1056768,3.8688974557444453,273144.4842072349,4.135545121839192
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,16,16384,1048576,1064960,3.7254512263461947,285860.67439795187,4.294781766796151
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,16,32768,1048576,1081344,3.0885398746468127,350114.9552500617,5.180441454339218
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,16,4096,4194304,4198400,1.8900634587431948,2221301.078849354,8.465324233419794
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,16,8192,4194304,4202496,2.649881325662136,1585918.5689947477,6.038006247695646
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,16,16384,4194304,4210688,2.157822210652133,1951360.0236450685,7.4148833583303
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,16,32768,4194304,4227072,2.6547866966575384,1592245.4355078768,6.026849546950237
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,16,4096,16777216,16781312,2.5385275627486408,6610647.938693131,6.302866368201133
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,16,8192,16777216,16785408,2.212018701558312,7588275.808054922,7.233211902199741
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,16,16384,16777216,16793600,2.377022159906725,7064974.102159395,6.731110996721984
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,16,32768,16777216,16809984,2.793725564299772,6017049.138544611,5.7271194438206345
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,32,8192,524288,532480,2.8176849878703556,188977.83190535277,11.35684085969668
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,32,16384,524288,540672,3.179217273835093,170064.50123737118,10.065370575128503
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,32,32768,524288,557056,3.7003138698637486,150542.9051672613,8.647915048670802
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,32,65536,524288,589824,7.676359134105344,76836.42592742531,4.168642899708405
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,32,8192,2097152,2105344,3.1879668928061924,660403.3450757643,10.037745395728422
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,32,16384,2097152,2113536,5.1742764847973985,408469.8616724105,6.18443952386765
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,32,32768,2097152,2129920,3.6217831200920045,588086.014367943,8.835426898556836
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,32,65536,2097152,2162688,4.6692809839732945,463173.6679422695,6.853303562119281
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,32,8192,8388608,8396800,2.9643684746697545,2832576.338518593,10.79487933886659
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,32,16384,8388608,8404992,3.30103889045616,2546165.7008344247,9.693917903396171
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,32,32768,8388608,8421376,3.7402419998931387,2251559.1237787833,8.555596135467775
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,32,65536,8388608,8454144,4.935047508527835,1713082.5965486886,6.4842334232251115
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,32,8192,33554432,33562624,3.4134747772477567,9832392.558957513,9.374611528783937
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,32,16384,33554432,33570816,3.5307365719539425,9508162.196711719,9.063264661031027
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,32,32768,33554432,33587200,6.7624872030379874,4966693.317350937,4.731986773390755
